epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,36.9357,0.92517,1.6415,0.94803,0.60552,0.58614,0.66045,0.47939,1.07061,1.79754,0.92493,0.000598075,0.000598075,0.000598075
43,37.7884,1.02201,1.51395,0.95724,0.58477,0.58005,0.66234,0.48717,1.07903,1.72674,0.92112,0.000595248,0.000595248,0.000595248
44,38.6054,1.05381,1.53163,0.92893,0.60208,0.63237,0.68763,0.49733,1.07519,1.57104,0.91966,0.00059242,0.00059242,0.00059242
45,39.3743,1.03421,1.51091,0.94079,0.60208,0.63237,0.68763,0.49733,1.07519,1.57104,0.91966,0.000589593,0.000589593,0.000589593
46,40.2132,0.90286,1.2964,0.87333,0.65667,0.69945,0.7211,0.51414,1.03736,1.42573,0.92259,0.000586765,0.000586765,0.000586765
47,41.0284,1.01106,1.50169,0.98125,0.64996,0.69755,0.74473,0.53828,1.02809,1.32087,0.92922,0.000583938,0.000583938,0.000583938
48,41.8318,0.95102,1.30737,0.89727,0.74023,0.7122,0.75176,0.54956,1.05137,1.3018,0.93437,0.00058111,0.00058111,0.00058111
49,42.6108,0.96731,1.33984,0.92546,0.74023,0.7122,0.75176,0.54956,1.05137,1.3018,0.93437,0.000578283,0.000578283,0.000578283
50,43.4513,1.04006,1.38621,0.96631,0.6528,0.72521,0.75991,0.55849,1.07076,1.29632,0.93188,0.000575455,0.000575455,0.000575455
51,44.2672,0.92838,1.36309,0.89748,0.65619,0.7132,0.74965,0.53949,1.04974,1.33242,0.92718,0.000572628,0.000572628,0.000572628
52,45.1529,1.05868,1.43342,0.9433,0.71459,0.7127,0.73513,0.52846,1.0519,1.31339,0.92741,0.000569801,0.000569801,0.000569801
53,45.9178,0.96853,1.35189,0.93325,0.71459,0.7127,0.73513,0.52846,1.0519,1.31339,0.92741,0.000566973,0.000566973,0.000566973
54,46.7508,1.0094,1.42571,0.91917,0.72127,0.72152,0.75054,0.52751,1.06981,1.28452,0.9323,0.000564146,0.000564146,0.000564146
55,47.5446,0.99134,1.3547,0.92964,0.64912,0.70257,0.77959,0.54631,1.09507,1.19181,0.94698,0.000561318,0.000561318,0.000561318
56,48.3635,0.99774,1.38306,0.92627,0.68553,0.74698,0.81289,0.56396,1.10734,1.10334,0.94716,0.000558491,0.000558491,0.000558491
57,49.1597,0.95559,1.33477,0.89935,0.68553,0.74698,0.81289,0.56396,1.10734,1.10334,0.94716,0.000555663,0.000555663,0.000555663
58,49.9927,0.95481,1.25806,0.90095,0.69453,0.76502,0.81551,0.57407,1.08762,1.09548,0.93247,0.000552836,0.000552836,0.000552836
59,50.8511,0.94157,1.20633,0.91192,0.66947,0.83203,0.81026,0.56908,1.06881,1.1174,0.92717,0.000550008,0.000550008,0.000550008
60,51.6912,0.95213,1.26476,0.9152,0.63414,0.77379,0.80436,0.55029,1.11361,1.14745,0.94052,0.000547181,0.000547181,0.000547181
61,52.4757,0.93043,1.23266,0.91518,0.63414,0.77379,0.80436,0.55029,1.11361,1.14745,0.94052,0.000544354,0.000544354,0.000544354
62,53.2775,0.98029,1.27795,0.92866,0.63227,0.79941,0.81205,0.56136,1.10396,1.11982,0.94454,0.000541526,0.000541526,0.000541526
63,54.0763,1.02988,1.33878,0.96277,0.6768,0.71534,0.77368,0.52967,1.09088,1.13799,0.9437,0.000538699,0.000538699,0.000538699
64,54.893,0.93144,1.23574,0.9026,0.59741,0.84122,0.77609,0.54324,1.08357,1.1849,0.94571,0.000535871,0.000535871,0.000535871
65,55.6713,0.91995,1.25528,0.94583,0.59741,0.84122,0.77609,0.54324,1.08357,1.1849,0.94571,0.000533044,0.000533044,0.000533044
66,56.5006,0.97823,1.24232,0.92678,0.66428,0.80215,0.75761,0.53699,1.09155,1.20892,0.94789,0.000530216,0.000530216,0.000530216
